RA;Dec;Magnitude;"Exposure middle";"Uploaded by"
"05h48m23.999s";"+30°57'02.94""";1.0079298;"2022-03-02 18:35:46.936";rasto_muni
"05h48m23.983s";"+30°57'03.06""";1.0037729;"2022-03-02 18:34:15.568";rasto_muni
"05h48m23.994s";"+30°57'02.90""";1.009492;"2022-03-02 18:25:07.7";rasto_muni
"05h48m23.994s";"+30°57'03.05""";0.9997605;"2022-03-02 18:31:12.775";rasto_muni
"05h48m23.989s";"+30°57'03.04""";1.0071101;"2022-03-02 18:29:41.500";rasto_muni
"05h48m24.006s";"+30°57'03.00""";1.0023419;"2022-03-02 18:28:09.995";rasto_muni
"05h48m23.998s";"+30°57'02.97""";1.0098431;"2022-03-02 18:23:35.424";rasto_muni
"05h48m23.990s";"+30°57'02.91""";1.0203208;"2022-03-02 18:14:26.730";rasto_muni
"05h48m23.996s";"+30°57'03.07""";1.0029209;"2022-03-02 18:26:38.469";rasto_muni
"05h48m23.998s";"+30°57'03.12""";1.0178672;"2022-03-02 18:22:04.16";rasto_muni
"05h48m23.986s";"+30°57'03.00""";1.0184205;"2022-03-02 18:20:32.453";rasto_muni
"05h48m23.992s";"+30°57'02.84""";1.0191153;"2022-03-02 18:19:00.952";rasto_muni
"05h48m23.996s";"+30°57'02.94""";1.0164521;"2022-03-02 18:17:29.612";rasto_muni
"05h48m24.014s";"+30°57'03.00""";1.008404;"2022-03-02 18:15:58.118";rasto_muni
"05h48m23.992s";"+30°57'03.14""";1.0250634;"2022-03-02 18:12:55.316";rasto_muni
"05h48m23.989s";"+30°57'02.93""";1.0204357;"2022-03-02 18:11:23.902";rasto_muni
"05h48m23.998s";"+30°57'02.95""";1.0269979;"2022-03-02 18:08:21.380";rasto_muni
"05h48m23.998s";"+30°57'03.08""";1.0253643;"2022-03-02 18:09:52.596";rasto_muni
"05h48m24.003s";"+30°57'02.98""";1.0313528;"2022-03-02 18:06:50.107";rasto_muni
"05h48m24.004s";"+30°57'02.92""";1.0282681;"2022-03-02 18:02:16.297";rasto_muni
"05h48m24.001s";"+30°57'03.01""";1.0191046;"2022-03-02 18:05:18.868";rasto_muni
"05h48m24.003s";"+30°57'02.81""";1.0416179;"2022-03-02 17:54:39.378";rasto_muni
"05h48m24.006s";"+30°57'02.92""";1.0303293;"2022-03-02 18:03:47.574";rasto_muni
"05h48m24.003s";"+30°57'02.86""";1.0306978;"2022-03-02 17:59:13.483";rasto_muni
"05h48m24.002s";"+30°57'02.91""";1.0423423;"2022-03-02 17:57:42.128";rasto_muni
"05h48m24.015s";"+30°57'02.88""";1.0418388;"2022-03-02 17:56:10.777";rasto_muni
"05h48m24.001s";"+30°57'02.97""";1.0251762;"2022-03-02 18:00:44.961";rasto_muni
"05h48m23.993s";"+30°57'02.91""";1.0451615;"2022-03-02 17:53:07.946";rasto_muni
"05h48m24.013s";"+30°57'02.88""";1.0446666;"2022-03-02 17:50:04.799";rasto_muni
"05h48m23.998s";"+30°57'02.81""";1.048241;"2022-03-02 17:51:36.501";rasto_muni
"05h48m23.993s";"+30°57'02.91""";1.0451615;"2022-03-02 17:53:07.946";rasto_muni
"05h48m24.010s";"+30°57'02.87""";1.0441358;"2022-03-02 17:48:33.141";rasto_muni
"05h48m24.006s";"+30°57'02.83""";1.0486403;"2022-03-02 17:47:01.635";rasto_muni
"05h48m24.008s";"+30°57'03.02""";1.0574743;"2022-03-02 17:45:30.166";rasto_muni
"05h48m24.003s";"+30°57'02.81""";1.0416179;"2022-03-02 17:54:39.378";rasto_muni
"05h48m24.008s";"+30°57'03.02""";1.0574743;"2022-03-02 17:45:30.166";rasto_muni
"05h48m24.010s";"+30°57'02.87""";1.0441358;"2022-03-02 17:48:33.141";rasto_muni
"05h48m23.998s";"+30°57'02.81""";1.048241;"2022-03-02 17:51:36.501";rasto_muni
"05h48m24.006s";"+30°57'02.83""";1.0486403;"2022-03-02 17:47:01.635";rasto_muni
"05h48m24.013s";"+30°57'02.88""";1.0446666;"2022-03-02 17:50:04.799";rasto_muni
